ImageNumber,ObjectNumber,Children_FilterObjects_Count,Children_MaskedNuclei_Count,Children_RNA_Green_Count,Classify_colocalized,Classify_not_colocalized,Location_Center_X,Location_Center_Y,Location_Center_Z,Mean_RNA_Green_Location_Center_X,Mean_RNA_Green_Location_Center_Y,Mean_RNA_Green_Location_Center_Z,Mean_RNA_Green_Number_Object_Number,Number_Object_Number,Parent_Nuclei
1,198,0,0,0,0,1,1051.5,455.8,0,nan,nan,nan,nan,198,0
1,199,0,0,0,0,1,1074.5333333333333,455.8666666666667,0,nan,nan,nan,nan,199,0
1,200,0,1,0,0,1,866.6363636363636,457.75757575757575,0,nan,nan,nan,nan,200,62
1,201,0,1,0,0,1,929.25,457.5,0,nan,nan,nan,nan,201,75
1,202,0,1,0,0,1,954.5,457.5,0,nan,nan,nan,nan,202,75
1,203,0,1,0,0,1,971.4285714285714,457.14285714285717,0,nan,nan,nan,nan,203,72
1,204,0,0,0,0,1,1040.5,457.0,0,nan,nan,nan,nan,204,0
1,205,0,0,0,0,1,1218.909090909091,456.27272727272725,0,nan,nan,nan,nan,205,0
1,206,0,0,0,0,1,1363.3636363636363,457.09090909090907,0,nan,nan,nan,nan,206,0
1,207,0,0,0,0,1,836.578947368421,459.63157894736844,0,nan,nan,nan,nan,207,0
1,208,0,0,0,0,1,846.0,458.0,0,nan,nan,nan,nan,208,0
1,209,0,1,0,0,1,875.65,458.275,0,nan,nan,nan,nan,209,62
1,210,0,1,0,0,1,898.9230769230769,457.2307692307692,0,nan,nan,nan,nan,210,67
1,211,0,1,0,0,1,908.1714285714286,457.6714285714286,0,nan,nan,nan,nan,211,67
1,212,0,1,0,0,1,936.5681818181819,458.27272727272725,0,nan,nan,nan,nan,212,75
1,213,0,1,0,0,1,965.015873015873,457.8412698412698,0,nan,nan,nan,nan,213,72
1,214,0,1,0,0,1,983.125,458.0625,0,nan,nan,nan,nan,214,72
1,215,0,0,0,0,1,998.4230769230769,459.11538461538464,0,nan,nan,nan,nan,215,0
1,216,0,1,0,0,1,1232.060606060606,457.54545454545456,0,nan,nan,nan,nan,216,57
1,217,0,0,0,0,1,830.9375,458.5625,0,nan,nan,nan,nan,217,0
1,218,0,1,0,0,1,858.64,460.86,0,nan,nan,nan,nan,218,83
