ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_TUJWithinDAPI
1,176,1795.8,840.2,0,176,3680
1,177,2109.7916666666665,842.5833333333334,0,177,3699
1,178,2117.590909090909,844.0,0,178,3721
1,179,2064.6363636363635,845.0909090909091,0,179,3735
1,180,1797.0357142857142,847.4285714285714,0,180,3755
1,181,2150.5,846.6666666666666,0,181,3757
1,182,2134.785714285714,847.0,0,182,3772
1,183,2059.0833333333335,848.9166666666666,0,183,3781
1,184,2111.2678571428573,848.125,0,184,3782
1,185,2119.0,849.0,0,185,3783
1,186,2160.214285714286,849.6428571428571,0,186,3784
1,187,2216.1666666666665,849.4,0,187,3785
1,188,1689.6363636363637,850.3636363636364,0,188,3792
1,189,2063.7272727272725,848.8181818181819,0,189,3795
1,190,2221.6666666666665,849.4666666666667,0,190,3796
1,191,1792.142857142857,851.8571428571429,0,191,3802
1,192,2334.0666666666666,851.2666666666667,0,192,3805
1,193,1785.875,853.0,0,193,3823
1,194,2019.6818181818182,855.0454545454545,0,194,3838
1,195,2133.423076923077,855.5384615384615,0,195,3841
1,196,2128.5,857.0,0,196,3868
1,197,2234.3636363636365,855.6818181818181,0,197,3869
1,198,2125.1,858.2,0,198,3876
1,199,1789.578947368421,859.1052631578947,0,199,3886
1,200,1854.9583333333333,858.7083333333334,0,200,3889
1,201,1896.5185185185185,860.074074074074,0,201,3890
1,202,2068.625,859.125,0,202,3895
1,203,2122.0,859.3333333333334,0,203,3896
1,204,1829.888888888889,860.6666666666666,0,204,3902
1,205,2002.5,859.5,0,205,3904
1,206,1858.0,861.5,0,206,3916
1,207,1889.7073170731708,863.5853658536586,0,207,3918
1,208,2095.222222222222,860.5555555555555,0,208,3920
1,209,2084.387755102041,862.265306122449,0,209,3933
1,210,2225.235294117647,861.4705882352941,0,210,3934
1,211,2390.5,861.375,0,211,3937
1,212,2033.2105263157894,862.6315789473684,0,212,3942
1,213,2070.535714285714,862.8214285714286,0,213,3944
1,214,2092.133333333333,863.3666666666667,0,214,3954
1,215,1786.5294117647059,864.6470588235294,0,215,3965
1,216,2076.075,864.7,0,216,3967
1,217,1829.9,866.2,0,217,3975
1,218,1841.1666666666667,866.6388888888889,0,218,3985
1,219,2087.121212121212,866.8181818181819,0,219,3987
1,220,2266.269230769231,866.9230769230769,0,220,3989
1,221,2231.3636363636365,870.4545454545455,0,221,4015
1,222,2069.5882352941176,871.8823529411765,0,222,4024
1,223,2094.25,870.6666666666666,0,223,4025
1,224,2392.8571428571427,870.7619047619048,0,224,4041
1,225,2397.8,872.7,0,225,4050
1,226,1857.2307692307693,874.4615384615385,0,226,4068
1,227,2084.25,876.375,0,227,4084
1,228,2391.4285714285716,876.0571428571428,0,228,4090
1,229,2191.0196078431372,877.6078431372549,0,229,4099
1,230,2214.730769230769,878.0769230769231,0,230,4107
1,231,2340.5641025641025,878.4871794871794,0,231,4109
1,232,2070.5,879.0,0,232,4131
1,233,2393.125,880.775,0,233,4137
1,234,2220.0714285714284,881.4285714285714,0,234,4142
1,235,2215.1052631578946,882.2631578947369,0,235,4163
1,236,2337.8846153846152,882.9230769230769,0,236,4165
1,237,1777.904761904762,884.2380952380952,0,237,4172
1,238,1856.8181818181818,883.8181818181819,0,238,4174
1,239,2192.4347826086955,883.3913043478261,0,239,4176
1,240,1786.6296296296296,885.5555555555555,0,240,4180
1,241,2049.8064516129034,884.258064516129,0,241,4181
1,242,2147.769230769231,886.6923076923077,0,242,4197
1,243,2343.2051282051284,886.7179487179487,0,243,4202
1,244,2237.5,887.4444444444445,0,244,4213
1,245,2277.05,886.65,0,245,4214
1,246,1764.9333333333334,887.7333333333333,0,246,4220
1,247,2281.3,889.15,0,247,4228
1,248,2328.3,889.05,0,248,4230
1,249,2333.4358974358975,889.3333333333334,0,249,4231
1,250,2339.25,889.5714285714286,0,250,4232
